uid c1 c2 c3 c4 c5 c6 c7 c8 c9 c10 total
445  0  0  1  2  2  1  7  3  2  2   20
325  0  2  4  5  1  2  2  2  2  0   20
296  2  0  0  0  0  1  3  3  4  7   20
438  0  0  0  0  0  0  1  8  6  5   20
448  0  0  0  0  0  2  0  1  0 17   20
249  0  0  0  1  0  9  0  7  0  3   20
289  2  0  0  0  0  4  2  3  7  2   20
604  0  3  2  3  1  2  3  4  1  1   20
209  0  1  0  5  0 10  0  4  0  0   20
651  0  0  0  1  0  6  0  7  0  6   20
444  0  4  0  0  0  5  0  8  0  3   20
221  0  1  0  2  5  9  2  1  0  0   20
484  0  1  0  1  0  3  0  9  0  6   20
540  0  1  1  1  1  1  1  6  7  1   20
319  0  0  0  1  0 11  0  7  0  1   20
668  0  2  0  0  0  7  0  3  0  8   20
657  0  0  0  2  0  8  0  8  0  2   20
 76  0  0  0  1  0  2  6  6  4  1   20
  1  0  2  0  7  3  4  1  3  0  0   20
638  1  2  1  2  1  2  5  2  4  0   20
 14  0  1  0  5  0  9  0  4  0  1   20
337  0  6  0  4  0  0  0  5  0  5   20
498  2  0  1  1  1  4  3  4  1  3   20
583  0  0  0  0  1  1  2  7  5  4   20
 35  2  1  5  2  3  1  2  3  0  1   20
485  0  1  0  0  3  3  4  5  4  0   20
310  1  1  3  2  5  1  3  2  1  1   20
399  0  2  0  3  0  5  0  8  0  2   20
 45  1  1  0  0  4  1  1  4  6  3   21
356  3  0  2  2  2  3  4  1  1  3   21
 24  0  0  0  0  0  9  0 10  0  2   21
477  5  2  0  2  0  0  1  5  0  6   21
 64  0  0  0  1  0  5  0  8  0  7   21
579 14  0  0  2  1  1  2  0  1  0   21
112  0  1  0  1  0  4  0  5  0 10   21
469  1  0  0  2  3  1  3  4  4  3   21
127  0  0  0  0  0  4  0 12  0  5   21
368  0  0  0  1  0  6  0  9  0  5   21
158  0  0  3  2  2  1  5  7  1  0   21
506  0  0  0  1  0 14  0  5  0  1   21
276  1  1  2  2  1  6  2  5  1  0   21
174  1  1  1  2  2  3  4  4  3  0   21
549  0  3  0  4  3  1  4  2  1  4   22
634  0  2  2  4  2  4  3  2  0  3   22
635  0  0  0  2  3  3  5  6  1  2   22
459  0  0  0  2  0  2  0 13  0  5   22
513  0  0  0  0  0 11  0  4  0  7   22
 29  4  0  1  2  3  4  1  2  1  4   22
490  0  2  0  0  0  6  0 12  0  2   22
341  2  1  0  0  0  1  4  8  3  3   22
347  0  0  1  0  0  5  1  6  8  1   22
413  0  0  0  0  0  7  0 11  0  4   22
135  0  5  0  2  0 12  0  2  0  1   22
317  0  1  0  2  0  7  0  9  0  3   22
566  0  0  0  0  0  1  4  4  2 11   22
329  0  0  0  0  0  9  0  7  0  6   22
280  0  0  0  0  0  3  0  9  0 10   22
395  0  2  0  5  0  6  0  6  0  4   23
335  0  0  0  2  5  3  2  8  2  1   23
323  0  0  0  1  1  4  5  3  6  3   23
 27  0  1  0  2  0  2  0 13  0  5   23
630  0  0  0  1  0  4  3  4  4  7   23
435  0  0  0  0  0  4  0 10  0  9   23
109  0  0  0  0  2  0  2  9  7  3   23
 71  0  0  0  0  0  3  0 11  0  9   23
349  0  0  0  3  0  9  0  7  0  4   23
301  2  1  0  3  0  4  2  3  1  7   23
449  0  0  0  0  0  3  0 11  0 10   24
403  0  0  0  0  0  8  0  9  0  7   24
167  0  0  0  3  0  4  0  9  0  8   24
504  0  5  0  2  0  9  0  7  0  1   24
489  0  0  0  2  0  7  0  7  0  8   24
172  0  0  0  0  0 11  0  8  0  5   24
643  1  0  0  7  2  2  2  0  2  8   24
180  0  1  0  3  0  6  0 12  0  2   24
437  0  1  0  1  0 10  0  7  0  5   24
375  0  3  0  1  0  6  0  9  0  6   25
637  0  0  0  0  2  2  5  4  2 10   25
100  0  0  0  1  0 15  0  7  0  2   25
495  0  0  0  0  0  6  0 11  0  8   25
331  0  1  2  2  0  5  1  6  2  6   25
392  0  2  2  4  0  5  2  8  2  0   25
446  0  0  0  0  0  0  0  5  9 11   25
377  0  0  0  2  5  5  5  4  2  2   25
269  0  2  0  2  0  8  0 10  0  3   25
